eventCode;Key;
1;start of a junction event, Detour (look 20);
2;start of a goal event;
3;start of a message display;
4;start of a decision point;
5;start of a EGD question following a goal event;
6;start point of a route;
7;whole-sec points with displacement;
8;whole-sec points without displacement;
9;start of final goal picture display;
10;point of interest within a junction event;
11;end of a junction event;
12;end of a goal event;
13;end of a message display;
14;end of a decision point;
15;end of a EGD question following a goal question;
16;end point of a route;
17;halfway point between key events;
18;point randomly shifted after the end of a key event toward the '17';
21;point randomly shifted before the start of a key event toward the '17';
19;end of final goal picture display;
20;start of a junction event, Congruent (look 1);
